orders_id,total_amount,order_date,customers_id,last_click_channel
446033,3,2020-07-31,101034,Google Ads
423790,3,2020-07-14,101034,Google Ads
423788,3,2020-07-14,101034,Google Ads
423792,3,2020-07-14,101034,Google Ads
423794,3,2020-07-14,101034,Google Ads
423789,3,2020-07-14,101034,Google Ads
587697,6,2020-10-30,47919,Google Ads
458958,9,2020-08-11,117756,Google Ads
380028,9,2020-06-05,117756,Google Ads
346933,9,2020-05-02,117756,Google Ads
505337,9,2020-09-12,117756,Google Ads
551401,9,2020-10-12,117756,Google Ads
417405,9,2020-07-09,117756,Google Ads
352656,27,2020-05-09,137160,Google Ads
452788,36,2020-08-06,105788,Google Ads
548285,36,2020-10-10,105788,Google Ads
297736,36,2020-02-23,105788,Google Ads
285281,36,2020-01-23,105788,Google Ads
497436,36,2020-09-07,105788,Google Ads
341795,36,2020-04-27,105788,Google Ads
408887,36,2020-07-02,105788,Google Ads
372085,36,2020-05-28,105788,Google Ads
313663,36,2020-03-26,105788,Google Ads
397997,36,2020-06-23,137160,Google Ads
553291,36,2020-10-14,137160,Google Ads
506561,36,2020-09-13,137160,Google Ads
418344,36,2020-07-10,137160,Google Ads
395196,36,2020-06-20,137160,Google Ads
407295,36,2020-07-01,137160,Google Ads
458993,36,2020-08-11,137160,Google Ads
520417,54,2020-09-21,152427,Google Ads
505723,54,2020-09-12,152427,Google Ads
444438,54,2020-07-30,152427,Google Ads
478329,54,2020-08-25,152427,Google Ads
465152,54,2020-08-16,152427,Google Ads
454018,54,2020-08-07,152427,Google Ads
447040,54,2020-08-01,152427,Google Ads
566227,54,2020-10-22,152427,Google Ads
491171,54,2020-09-03,152427,Google Ads
383217,54,2020-06-08,152427,Google Ads
523267,84,2020-09-23,174081,Google Ads
520169,84,2020-09-21,174081,Google Ads
586105,84,2020-10-29,182277,Google Ads
535542,84,2020-10-01,182277,Google Ads
550359,84,2020-10-11,182277,Google Ads
529926,84,2020-09-28,182277,Google Ads
563314,84,2020-10-20,182277,Google Ads
537859,84,2020-10-02,182277,Google Ads
306918,84,2020-03-13,107287,Google Ads
554588,84,2020-10-15,204833,Facebook Ads
529268,84,2020-09-27,113453,Google Ads
495126,84,2020-09-05,113453,Google Ads
448653,84,2020-08-02,113453,Google Ads
571032,84,2020-10-24,113453,Google Ads
405071,84,2020-06-29,113453,Google Ads
511725,84,2020-09-16,113453,Google Ads
